Core: hps_sdram_p0 - Instance: the_system|acl_iface|hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.459,0.446
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.667,--
"Core (Slow 1100mV 85C Model)",1.435,0.35
"Core Recovery/Removal (Slow 1100mV 85C Model)",2.839,0.593
"DQS vs CK (Slow 1100mV 85C Model)",0.393,0.135
"Postamble (Slow 1100mV 85C Model)",0.432,0.432
"Read Capture (Slow 1100mV 85C Model)",0.057,0.01
"Write (Slow 1100mV 85C Model)",0.168,0.168
"Address Command (Slow 1100mV 0C Model)",0.44,0.438
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.703,--
"Core (Slow 1100mV 0C Model)",1.408,0.409
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.037,0.564
"DQS vs CK (Slow 1100mV 0C Model)",0.449,0.14
"Postamble (Slow 1100mV 0C Model)",0.413,0.413
"Read Capture (Slow 1100mV 0C Model)",0.066,0.019
"Write (Slow 1100mV 0C Model)",0.196,0.196
"Address Command (Fast 1100mV 85C Model)",0.539,0.517
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.897,--
"Core (Fast 1100mV 85C Model)",2.11,0.132
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.567,0.352
"Postamble (Fast 1100mV 85C Model)",0.606,0.606
"Read Capture (Fast 1100mV 85C Model)",0.279,0.232
"Write (Fast 1100mV 85C Model)",0.333,0.333
"Address Command (Fast 1100mV 0C Model)",0.503,0.552
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.91,--
"Core (Fast 1100mV 0C Model)",2.11,0.132
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.564,0.38
"Postamble (Fast 1100mV 0C Model)",0.611,0.611
"Read Capture (Fast 1100mV 0C Model)",0.279,0.231
"Write (Fast 1100mV 0C Model)",0.347,0.347
